"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","-6.9","0.0019","0","0","46.4444444444444","-63","-47",
"1","1","2","-6.7","0.0018","0","0","41.8","-54","-67",
"1","1","3","-6.9","0.0019","0","0","32.5111111111111","-44","-81",
"1","1","4","-6.9","0.002","0","0","26.7055555555556","-33","-88",
"1","1","5","-5.4","0.0022","0","0","19.7388888888889","-22","-78",
"1","1","6","-5.6","0.002","0","0","16.2555555555556","-11","-69",
"1","1","7","-6.6","0.0019","2.32222222222222","2.32222222222222","13.9333333333333","-2","-59",
"1","1","8","-6.8","0.0019","44.1222222222222","30.1888888888889","16.2555555555556","7","-49",
"1","1","9","-6.7","0.0019","33.6722222222222","61.5388888888889","41.8","15","-37",
"1","1","10","-8.1","0.0019","35.9944444444444","88.2444444444444","13.9333333333333","20","-23",
"1","1","11","-8.8","0.0017","52.25","119.594444444444","40.6388888888889","23","-9",
"1","1","12","-8.6","0.0013","163.716666666667","147.461111111111","55.7333333333333","24","6",
"1","1","13","-8.2","0.0011","532.95","102.177777777778","78.9555555555555","21","21",
"1","1","14","-8.3","0.001","638.611111111111","63.8611111111111","87.0833333333333","16","34",
"1","1","15","-9.2","0.0009","375.038888888889","47.6055555555556","77.7944444444445","9","46",
"1","1","16","-11","0.0008","2.32222222222222","5.80555555555556","76.6333333333333","0","57",
"1","1","17","-11.9","0.0008","0","0","73.15","-9","67",
"1","1","18","-13.5","0.0007","0","0","71.9888888888889","-20","77",
"1","1","19","-13","0.0008","0","0","68.5055555555555","-31","86",
"1","1","20","-13.7","0.0007","0","0","68.5055555555555","-41","83",
"1","1","21","-13.1","0.0011","0","0","62.7","-52","71",
"1","1","22","-13.9","0.001","0","0","61.5388888888889","-62","52",
"1","1","23","-13.9","0.0009","0","0","59.2166666666667","-68","23",
"1","1","24","-13.9","0.0009","0","0","59.2166666666667","-69","-16",
"1","2","1","-14.4","0.0009","0","0","56.8944444444444","-63","-47",
"1","2","2","-13.9","0.0009","0","0","56.8944444444444","-54","-67",
"1","2","3","-13.4","0.001","0","0","53.4111111111111","-44","-81",
"1","2","4","-14","0.001","0","0","53.4111111111111","-33","-88",
"1","2","5","-13.2","0.0011","0","0","51.0888888888889","-22","-79",
"1","2","6","-12.6","0.0012","0","0","47.6055555555556","-11","-69",
"1","2","7","-12.6","0.0011","2.32222222222222","2.32222222222222","47.6055555555556","-2","-59",
"1","2","8","-12.7","0.0011","75.4722222222222","35.9944444444444","44.1222222222222","7","-49",
"1","2","9","-12.5","0.0011","615.388888888889","61.5388888888889","87.0833333333333","15","-37",
"1","2","10","-11.4","0.0011","751.238888888889","63.8611111111111","88.2444444444444","20","-24",
"1","2","11","-9.7","0.0013","363.427777777778","138.172222222222","73.15","23","-9",
"1","2","12","-11.5","0.0012","227.577777777778","149.783333333333","16.2555555555556","24","6",
"1","2","13","-8.2","0.0016","447.027777777778","116.111111111111","76.6333333333333","21","21",
"1","2","14","-7.9","0.0015","660.672222222222","61.5388888888889","91.7277777777778","16","34",
"1","2","15","-8.5","0.0014","199.711111111111","52.25","63.8611111111111","9","46",
"1","2","16","-10.2","0.0013","11.6111111111111","8.12777777777778","62.7","0","57",
"1","2","17","-10.1","0.0014","0","0","60.3777777777778","-9","67",
"1","2","18","-8.2","0.0015","0","0","60.3777777777778","-20","77",
"1","2","19","-7.6","0.0016","0","0","56.8944444444444","-30","86",
"1","2","20","-4.3","0.0018","0","0","58.0555555555556","-41","83",
"1","2","21","-3.5","0.0019","0","0","58.0555555555556","-52","71",
"1","2","22","-3.7","0.0018","0","0","54.5722222222222","-62","52",
"1","2","23","-3.2","0.002","0","0","54.5722222222222","-68","23",
"1","2","24","-2.6","0.002","0","0","53.4111111111111","-69","-15",
"1","3","1","-2.4","0.002","0","0","52.25","-63","-47",
"1","3","2","-2","0.0021","0","0","48.7666666666667","-54","-67",
"1","3","3","-1.9","0.002","0","0","48.7666666666667","-44","-81",
"1","3","4","-2.5","0.002","0","0","46.4444444444444","-33","-88",
"1","3","5","-1.8","0.0021","0","0","44.1222222222222","-22","-79",
"1","3","6","-1.1","0.0022","0","0","44.1222222222222","-11","-69",
