日付,暖冷房,換気,給湯,照明,家電,調理
1月1日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
1月2日,平日,平日,平日（中）,平日,平日,平日
1月3日,平日,平日,平日（小）,平日,平日,平日
1月4日,平日,平日,平日（中）,平日,平日,平日
1月5日,平日,平日,平日（中）,平日,平日,平日
1月6日,平日,平日,平日（中）,平日,平日,平日
1月7日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
1月8日,休日,休日外,休日外出,休日外,休日外,休日外
1月9日,平日,平日,平日（中）,平日,平日,平日
1月10日,平日,平日,平日（小）,平日,平日,平日
1月11日,平日,平日,平日（大）,平日,平日,平日
1月12日,平日,平日,平日（小）,平日,平日,平日
1月13日,平日,平日,平日（中）,平日,平日,平日
1月14日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
1月15日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
1月16日,平日,平日,平日（中）,平日,平日,平日
1月17日,平日,平日,平日（小）,平日,平日,平日
1月18日,平日,平日,平日（中）,平日,平日,平日
1月19日,平日,平日,平日（中）,平日,平日,平日
1月20日,平日,平日,平日（中）,平日,平日,平日
1月21日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
1月22日,休日,休日外,休日外出,休日外,休日外,休日外
1月23日,平日,平日,平日（中）,平日,平日,平日
1月24日,平日,平日,平日（小）,平日,平日,平日
1月25日,平日,平日,平日（大）,平日,平日,平日
1月26日,平日,平日,平日（小）,平日,平日,平日
1月27日,平日,平日,平日（中）,平日,平日,平日
1月28日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
1月29日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
1月30日,平日,平日,平日（中）,平日,平日,平日
1月31日,平日,平日,平日（小）,平日,平日,平日
2月1日,平日,平日,平日（中）,平日,平日,平日
2月2日,平日,平日,平日（中）,平日,平日,平日
2月3日,平日,平日,平日（中）,平日,平日,平日
2月4日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
2月5日,休日,休日外,休日外出,休日外,休日外,休日外
2月6日,平日,平日,平日（中）,平日,平日,平日
2月7日,平日,平日,平日（小）,平日,平日,平日
2月8日,平日,平日,平日（大）,平日,平日,平日
2月9日,平日,平日,平日（小）,平日,平日,平日
2月10日,平日,平日,平日（中）,平日,平日,平日
2月11日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
2月12日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
2月13日,平日,平日,平日（中）,平日,平日,平日
2月14日,平日,平日,平日（小）,平日,平日,平日
2月15日,平日,平日,平日（中）,平日,平日,平日
2月16日,平日,平日,平日（中）,平日,平日,平日
2月17日,平日,平日,平日（中）,平日,平日,平日
2月18日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
2月19日,休日,休日外,休日外出,休日外,休日外,休日外
2月20日,平日,平日,平日（中）,平日,平日,平日
2月21日,平日,平日,平日（小）,平日,平日,平日
2月22日,平日,平日,平日（大）,平日,平日,平日
2月23日,平日,平日,平日（小）,平日,平日,平日
2月24日,平日,平日,平日（中）,平日,平日,平日
2月25日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
2月26日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
2月27日,平日,平日,平日（中）,平日,平日,平日
2月28日,平日,平日,平日（小）,平日,平日,平日
3月1日,平日,平日,平日（中）,平日,平日,平日
3月2日,平日,平日,平日（中）,平日,平日,平日
3月3日,平日,平日,平日（中）,平日,平日,平日
3月4日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
3月5日,休日,休日外,休日外出,休日外,休日外,休日外
3月6日,平日,平日,平日（中）,平日,平日,平日
3月7日,平日,平日,平日（小）,平日,平日,平日
3月8日,平日,平日,平日（大）,平日,平日,平日
3月9日,平日,平日,平日（小）,平日,平日,平日
3月10日,平日,平日,平日（中）,平日,平日,平日
3月11日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
3月12日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
3月13日,平日,平日,平日（中）,平日,平日,平日
3月14日,平日,平日,平日（小）,平日,平日,平日
3月15日,平日,平日,平日（中）,平日,平日,平日
3月16日,平日,平日,平日（中）,平日,平日,平日
3月17日,平日,平日,平日（中）,平日,平日,平日
3月18日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
3月19日,休日,休日外,休日外出,休日外,休日外,休日外
3月20日,平日,平日,平日（中）,平日,平日,平日
3月21日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
3月22日,平日,平日,平日（大）,平日,平日,平日
3月23日,平日,平日,平日（小）,平日,平日,平日
3月24日,平日,平日,平日（中）,平日,平日,平日
3月25日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
3月26日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
3月27日,平日,平日,平日（中）,平日,平日,平日
3月28日,平日,平日,平日（小）,平日,平日,平日
3月29日,平日,平日,平日（中）,平日,平日,平日
3月30日,平日,平日,平日（中）,平日,平日,平日
3月31日,平日,平日,平日（中）,平日,平日,平日
4月1日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月2日,休日,休日外,休日外出,休日外,休日外,休日外
4月3日,平日,平日,平日（中）,平日,平日,平日
4月4日,平日,平日,平日（小）,平日,平日,平日
4月5日,平日,平日,平日（大）,平日,平日,平日
4月6日,平日,平日,平日（小）,平日,平日,平日
4月7日,平日,平日,平日（中）,平日,平日,平日
4月8日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月9日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
4月10日,平日,平日,平日（中）,平日,平日,平日
4月11日,平日,平日,平日（小）,平日,平日,平日
4月12日,平日,平日,平日（中）,平日,平日,平日
4月13日,平日,平日,平日（中）,平日,平日,平日
4月14日,平日,平日,平日（中）,平日,平日,平日
4月15日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月16日,休日,休日外,休日外出,休日外,休日外,休日外
4月17日,平日,平日,平日（中）,平日,平日,平日
4月18日,平日,平日,平日（小）,平日,平日,平日
4月19日,平日,平日,平日（大）,平日,平日,平日
4月20日,平日,平日,平日（小）,平日,平日,平日
4月21日,平日,平日,平日（中）,平日,平日,平日
4月22日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月23日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
4月24日,平日,平日,平日（中）,平日,平日,平日
4月25日,平日,平日,平日（小）,平日,平日,平日
4月26日,平日,平日,平日（中）,平日,平日,平日
4月27日,平日,平日,平日（中）,平日,平日,平日
4月28日,平日,平日,平日（中）,平日,平日,平日
4月29日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月30日,休日,休日外,休日外出,休日外,休日外,休日外
5月1日,平日,平日,平日（中）,平日,平日,平日
5月2日,平日,平日,平日（小）,平日,平日,平日
5月3日,休日,休日外,休日外出,休日外,休日外,休日外
5月4日,休日,休日外,休日外出,休日外,休日外,休日外
5月5日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月6日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
