"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","19.1","0.0113","0","0","22.0611111111111","-83","-65",
"1","1","2","19.7","0.0109","0","0","23.2222222222222","-70","-86",
"1","1","3","19.9","0.0109","0","0","20.9","-56","-87",
"1","1","4","20.3","0.0112","0","0","17.4166666666667","-43","-82",
"1","1","5","19.4","0.0121","0","0","18.5777777777778","-30","-77",
"1","1","6","20.9","0.011","0","0","18.5777777777778","-17","-72",
"1","1","7","21.3","0.0109","0","0","15.0944444444444","-4","-66",
"1","1","8","20","0.012","2.32222222222222","13.9333333333333","13.9333333333333","8","-60",
"1","1","9","19.7","0.0128","13.9333333333333","58.0555555555556","11.6111111111111","19","-51",
"1","1","10","20.2","0.0132","44.1222222222222","138.172222222222","11.6111111111111","29","-40",
"1","1","11","21.2","0.0138","58.0555555555556","193.905555555556","31.35","36","-26",
"1","1","12","20.6","0.0138","2.32222222222222","119.594444444444","11.6111111111111","40","-10",
"1","1","13","18.8","0.0128","13.9333333333333","111.466666666667","12.7722222222222","40","8",
"1","1","14","19.2","0.0122","19.7388888888889","135.85","27.8666666666667","36","25",
"1","1","15","19.8","0.0101","13.9333333333333","102.177777777778","31.35","29","39",
"1","1","16","19.6","0.0115","11.6111111111111","63.8611111111111","30.1888888888889","20","50",
"1","1","17","19.7","0.0115","19.7388888888889","30.1888888888889","31.35","9","59",
"1","1","18","19.2","0.0115","0","0","23.2222222222222","-3","66",
"1","1","19","18.9","0.0116","0","0","12.7722222222222","-16","72",
"1","1","20","18.6","0.0118","0","0","13.9333333333333","-29","77",
"1","1","21","18.4","0.0114","0","0","15.0944444444444","-42","82",
"1","1","22","18.4","0.0111","0","0","18.5777777777778","-55","87",
"1","1","23","18.5","0.0109","0","0","18.5777777777778","-69","86",
"1","1","24","18.7","0.0102","0","0","19.7388888888889","-82","68",
"1","2","1","18.4","0.0104","0","0","20.9","-83","-64",
