áTaçfì‡ (124-A4),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
-16.7,0,0,0,0,,,
-16.3,0,0,0,0,,,
-15.8,0,0,0,0,,,
-15.6,0,0,0,0,,,
-16.1,0,0,0,0,,,
-15.8,0,0,0,0,,,
-13.9,0.01,0.01,0,0,,,
-11.5,0.09,0.11,8.4,-47.6,,,
-9,0.06,0.2,15.7,-35.6,,,
-6.2,0.04,0.26,21,-22.2,,,
-5.3,0.08,0.35,23.8,-7.6,,,
-4.8,0.04,0.3,23.8,7.5,,,
-4.5,0.04,0.26,21,22.1,,,
-4.6,0.06,0.2,15.7,35.6,,,
-4.3,0.08,0.11,8.4,47.6,,,
-4.5,0.01,0.01,0,0,,,
-4.6,0,0,0,0,,,
-4.6,0,0,0,0,,,
-4.6,0,0,0,0,,,
-6.9,0,0,0,0,,,
-11.5,0,0,0,0,,,
-10.8,0,0,0,0,,,
-12.8,0,0,0,0,,,
-14.8,0,0,0,0,,,
-14.1,0,0,0,0,,,
-12,0,0,0,0,,,
-12.1,0,0,0,0,,,
-13.5,0,0,0,0,,,
-15.6,0,0,0,0,,,
-16.7,0,0,0,0,,,
-18.4,0.01,0.02,0,0,,,
-17.1,0.2,0.14,8.4,-47.7,,,
-13.8,0.8,0.37,15.7,-35.7,,,
-9.8,2.71,0.32,21,-22.3,,,
-7.4,2.88,0.33,23.9,-7.7,,,
-2.3,2.88,0.33,23.9,7.4,,,
-1.4,2.7,0.32,21.1,22.1,,,
-1.4,1.96,0.32,15.8,35.5,,,
-1.7,1.09,0.19,8.5,47.5,,,
-6.2,0.01,0.02,0,0,,,
-9.3,0,0,0,0,,,
-11.5,0,0,0,0,,,
-12.6,0,0,0,0,,,
-15.9,0,0,0,0,,,
-17.1,0,0,0,0,,,
-18,0,0,0,0,,,
-18.8,0,0,0,0,,,
-19,0,0,0,0,,,
-19.6,0,0,0,0,,,
-19.4,0,0,0,0,,,
-19.3,0,0,0,0,,,
-18.5,0,0,0,0,,,
-18.6,0,0,0,0,,,
-19.3,0,0,0,0,,,
-19.6,0.01,0.02,0,0,,,
-18.4,1.62,0.18,8.4,-47.9,,,
-14.3,2.4,0.26,15.7,-35.9,,,
-9,2.81,0.3,21.1,-22.5,,,
-3.8,2.95,0.32,24,-7.8,,,
-1,2.95,0.32,24,7.3,,,
0.3,2.82,0.3,21.2,22,,,
0,1.3,0.37,15.9,35.5,,,
-0.7,0.22,0.15,8.7,47.5,,,
-1.7,0.01,0.02,0,0,,,
-2.5,0,0,0,0,,,
-2.3,0,0,0,0,,,
-2.7,0,0,0,0,,,
-3.3,0,0,0,0,,,
-3.4,0,0,0,0,,,
-2.8,0,0,0,0,,,
-3.2,0,0,0,0,,,
-3.5,0,0,0,0,,,
-7.4,0,0,0,0,,,
-11.4,0,0,0,0,,,
-13,0,0,0,0,,,
-13.3,0,0,0,0,,,
-15.1,0,0,0,0,,,
-15.8,0,0,0,0,,,
-16.3,0.01,0.02,0,0,,,
-15,1.71,0.17,8.4,-48,,,
-12,2.75,0.22,15.8,-36,,,
-5.6,3.18,0.24,21.2,-22.6,,,
-2.6,3.34,0.24,24.1,-7.9,,,
-1.9,3.33,0.24,24.1,7.2,,,
-0.9,3.18,0.24,21.4,21.9,,,
-0.8,2.77,0.22,16.1,35.4,,,
-0.9,1.64,0.18,8.8,47.5,,,
-2.9,0.01,0.02,0,58.2,,,
-4.9,0,0,0,0,,,
-10.9,0,0,0,0,,,
-11.7,0,0,0,0,,,
-14.1,0,0,0,0,,,
-15,0,0,0,0,,,
-14.9,0,0,0,0,,,
-15.9,0,0,0,0,,,
-16.1,0,0,0,0,,,
-16.7,0,0,0,0,,,
-17.6,0,0,0,0,,,
-18,0,0,0,0,,,
-18.9,0,0,0,0,,,
-19,0,0,0,0,,,
-19.7,0,0,0,0,,,
-19.4,0.01,0.02,0,0,,,
-18.3,1.98,0.17,8.4,-48.2,,,
-15.1,2.95,0.2,15.8,-36.2,,,
-11.5,3.4,0.2,21.2,-22.7,,,
-4.9,3.55,0.21,24.2,-8.1,,,
-4,3.54,0.21,24.3,7.1,,,
-2.9,3.42,0.2,21.5,21.8,,,
-3.1,2.93,0.21,16.2,35.4,,,
-3.7,1.97,0.17,8.9,47.4,,,
-7.3,0.04,0.03,0.2,58.2,,,
-11.3,0,0,0,0,,,
-13.5,0,0,0,0,,,
-14.9,0,0,0,0,,,
-16.4,0,0,0,0,,,
-17.3,0,0,0,0,,,
-18.9,0,0,0,0,,,
-19.8,0,0,0,0,,,
-20.4,0,0,0,0,,,
-20.5,0,0,0,0,,,
-21.3,0,0,0,0,,,
-22,0,0,0,0,,,
-22.2,0,0,0,0,,,
-22.8,0,0,0,0,,,
-22.8,0,0,0,0,,,
-21.2,0.01,0.02,0,0,,,
-18.5,0.2,0.14,8.5,-48.3,,,
-15.9,1.69,0.34,15.9,-36.3,,,
-11.2,2.68,0.32,21.3,-22.9,,,
-9,2.82,0.35,24.3,-8.2,,,
-5.5,2.78,0.35,24.4,7,,,
-5.1,2.7,0.33,21.6,21.8,,,
-5.3,1.67,0.35,16.4,35.3,,,
-6,0.18,0.15,9.1,47.4,,,
-7.3,0.01,0.02,0.3,58.2,,,
-8.2,0,0,0,0,,,
-8.3,0,0,0,0,,,
-12.7,0,0,0,0,,,
-15.2,0,0,0,0,,,
-17,0,0,0,0,,,
-18.6,0,0,0,0,,,
-19.7,0,0,0,0,,,
-20.5,0,0,0,0,,,
-21,0,0,0,0,,,
-22.1,0,0,0,0,,,
-21.7,0,0,0,0,,,
-22.5,0,0,0,0,,,
-23,0,0,0,0,,,
-22.7,0,0,0,0,,,
-23.6,0.01,0.02,0,0,,,
-23.2,2.02,0.17,8.5,-48.5,,,
-19.7,3.04,0.19,15.9,-36.5,,,
-15.3,3.51,0.18,21.4,-23,,,
-9.4,3.65,0.19,24.4,-8.3,,,
-6.4,3.66,0.19,24.5,6.9,,,
-5.4,3.54,0.18,21.8,21.7,,,
-5.1,3.09,0.19,16.5,35.3,,,
-6,2.17,0.17,9.3,47.4,,,
-10.2,0.09,0.04,0.5,58.2,,,
-14.3,0,0,0,0,,,
-16.3,0,0,0,0,,,
-18,0,0,0,0,,,
-19.8,0,0,0,0,,,
-20.8,0,0,0,0,,,
-21.6,0,0,0,0,,,
-22.2,0,0,0,0,,,
-21.9,0,0,0,0,,,
-22.8,0,0,0,0,,,
-23,0,0,0,0,,,
-23.3,0,0,0,0,,,
-23.9,0,0,0,0,,,
-23.7,0,0,0,0,,,
-23.7,0,0,0,0,,,
-24.5,0.01,0.02,0,0,,,
-22.9,2.01,0.17,8.5,-48.6,,,
-18.5,3.03,0.19,16,-36.6,,,
-13.3,3.48,0.19,21.5,-23.2,,,
-9.3,3.62,0.2,24.5,-8.4,,,
