áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
2.7,0,0,0,0,,,
3.1,0,0,0,0,,,
2,0,0,0,0,,,
1.6,0,0,0,0,,,
1.8,0,0,0,0,,,
1.5,0,0,0,0,,,
1.7,0.01,0.01,0,0,,,
1.7,0.39,0.14,8.8,-53.7,,,
2.5,0.87,0.31,18,-43.1,,,
3.9,2.11,0.26,25.4,-30.6,,,
5.1,1.86,0.38,30.3,-15.9,,,
5.3,2.22,0.3,32,0.1,,,
6.1,0.82,0.57,30.3,16.1,,,
5.6,0.16,0.38,25.4,30.7,,,
4.9,0.55,0.32,18,43.2,,,
4.8,0.17,0.12,8.7,53.8,,,
4.3,0.01,0.01,0,0,,,
4.3,0,0,0,0,,,
4.1,0,0,0,0,,,
4.2,0,0,0,0,,,
3.6,0,0,0,0,,,
3.9,0,0,0,0,,,
3.8,0,0,0,0,,,
3.3,0,0,0,0,,,
3.8,0,0,0,0,,,
4.1,0,0,0,0,,,
4,0,0,0,0,,,
3.8,0,0,0,0,,,
4,0,0,0,0,,,
4,0,0,0,0,,,
4,0.01,0.01,0,0,,,
4.1,0.06,0.09,8.8,-53.9,,,
4.3,0.06,0.18,18,-43.3,,,
4.7,0.05,0.27,25.4,-30.7,,,
4.9,0.06,0.33,30.3,-16.1,,,
5.5,0.05,0.36,32.1,-0.1,,,
5.8,0.06,0.34,30.4,16,,,
5.5,0.05,0.27,25.5,30.6,,,
5.4,0.05,0.18,18.1,43.2,,,
5.3,0.06,0.09,8.9,53.8,,,
5.3,0.01,0.01,0,0,,,
4.8,0,0,0,0,,,
4.8,0,0,0,0,,,
4,0,0,0,0,,,
1.9,0,0,0,0,,,
0.7,0,0,0,0,,,
0.2,0,0,0,0,,,
-0.6,0,0,0,0,,,
-0.6,0,0,0,0,,,
-0.8,0,0,0,0,,,
-1.3,0,0,0,0,,,
-1.9,0,0,0,0,,,
-1.9,0,0,0,0,,,
-1.7,0,0,0,0,,,
-1.8,0.01,0.01,0,0,,,
-1,0.06,0.09,8.8,-54,,,
0.2,0.05,0.18,18,-43.4,,,
1.9,0.05,0.27,25.5,-30.9,,,
2.3,0.06,0.34,30.4,-16.2,,,
3.2,0.05,0.36,32.2,-0.2,,,
3.7,0.05,0.34,30.5,15.9,,,
3.9,0.06,0.27,25.6,30.6,,,
3.9,0.06,0.19,18.2,43.2,,,
4.2,0.04,0.07,9,53.8,,,
3.9,0,0,0,0,,,
3.7,0,0,0,0,,,
3.5,0,0,0,0,,,
3.7,0,0,0,0,,,
3.5,0,0,0,0,,,
3.6,0,0,0,0,,,
3.6,0,0,0,0,,,
3.8,0,0,0,0,,,
4,0,0,0,0,,,
4.1,0,0,0,0,,,
4.3,0,0,0,0,,,
4.3,0,0,0,0,,,
4.5,0,0,0,0,,,
4.6,0,0,0,0,,,
5.2,0,0,0,0,,,
5.5,0.01,0.05,8.8,-54.1,,,
6,0.03,0.15,18.1,-43.6,,,
6.7,0.03,0.21,25.5,-31,,,
7.2,0,0.19,30.5,-16.4,,,
7.6,0.02,0.29,32.3,-0.3,,,
7.3,0.04,0.26,30.6,15.8,,,
8.1,0.02,0.22,25.8,30.5,,,
8.1,0.06,0.19,18.4,43.1,,,
8.3,0.05,0.09,9.2,53.8,,,
8.7,0.01,0.01,0,0,,,
8.1,0,0,0,0,,,
8.8,0,0,0,0,,,
8.5,0,0,0,0,,,
8.3,0,0,0,0,,,
7.9,0,0,0,0,,,
7.2,0,0,0,0,,,
6.2,0,0,0,0,,,
6.3,0,0,0,0,,,
6,0,0,0,0,,,
4.7,0,0,0,0,,,
3.9,0,0,0,0,,,
5.5,0,0,0,0,,,
5.9,0,0,0,0,,,
5.9,0.01,0.01,0,0,,,
6,0.25,0.13,8.8,-54.3,,,
5.8,0.47,0.32,18.1,-43.7,,,
