áYâú (826-A1),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
17.8,0,0,0,0
18,0,0,0,0
18.7,0,0,0,0
18.4,0,0,0,0
17.7,0,0,0,0
18.5,0,0,0,0
18.4,0,0,0,0
18.3,0.01,0.04,7.9,-59.2
18.3,0.02,0.1,18.8,-50.6
17.8,0.01,0.16,28.3,-39.6
18,0.02,0.19,35.6,-25.8
18.1,0.05,0.38,39.6,-9.1
17.7,0.04,0.27,39.6,8.9
17.3,0.04,0.3,35.6,25.6
17.4,0.02,0.26,28.4,39.5
17.3,0.04,0.17,18.9,50.5
17.1,0.05,0.07,8,59.1
17.1,0,0,0,0
16.8,0,0,0,0
16.7,0,0,0,0
16.8,0,0,0,0
16.6,0,0,0,0
16.3,0,0,0,0
16.1,0,0,0,0
16,0,0,0,0
15.6,0,0,0,0
15.5,0,0,0,0
15.5,0,0,0,0
15.3,0,0,0,0
15.2,0,0,0,0
15,0,0,0,0
14.9,0.1,0.09,7.8,-59.3
16.1,0.49,0.34,18.8,-50.7
16.3,0.55,0.53,28.3,-39.8
17,1.03,0.65,35.6,-25.9
17.3,0.54,0.76,39.7,-9.2
16.7,0.06,0.51,39.7,8.8
15.7,0.08,0.46,35.8,25.5
16.2,0.14,0.42,28.5,39.4
15.6,0.25,0.3,19.1,50.4
15.3,0.1,0.09,8.1,59.1
15,0,0,0,0
14.6,0,0,0,0
15.1,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.4,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13.8,0,0,0,0
13.8,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.5,0,0,0,0
13.2,0,0,0,0
13.4,0.18,0.1,7.8,-59.5
14,0.16,0.26,18.8,-50.8
14,0.21,0.46,28.3,-39.9
14.8,0.18,0.57,35.6,-26.1
14.3,0.24,0.69,39.8,-9.4
14.6,0.56,0.77,39.8,8.6
15.2,1.05,0.65,35.9,25.4
14.9,0.48,0.53,28.7,39.4
14.1,0.06,0.22,19.2,50.4
13.8,0.1,0.09,8.3,59.1
13.5,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.5,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.8,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.6,0,0,0,0
13.3,0,0,0,0
14,0,0,0,0
14.2,0,0,0,0
14.6,0.13,0.1,7.7,-59.6
15.3,0.1,0.23,18.8,-51
15.3,0.06,0.31,28.3,-40.1
15.8,0.06,0.39,35.7,-26.3
16.4,0.07,0.51,39.8,-9.5
17,0.17,0.63,40,8.5
17.5,0.84,0.68,36,25.4
18.1,0.98,0.52,28.8,39.4
17,0.58,0.34,19.4,50.4
16.5,0.26,0.12,8.4,59.2
15.6,0,0,0,0
15.5,0,0,0,0
15.8,0,0,0,0
15.9,0,0,0,0
16.7,0,0,0,0
16.8,0,0,0,0
17.2,0,0,0,0
16.4,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17.4,0,0,0,0
17.3,0,0,0,0
16.9,0,0,0,0
16.4,0,0,0,0
17.6,0.15,0.1,7.7,-59.7
18.6,0.18,0.28,18.8,-51.2
18.6,0.46,0.52,28.4,-40.3
19.1,0.37,0.66,35.7,-26.4
19.6,0.96,0.74,39.9,-9.7
20.9,1.45,0.63,40.1,8.4
20.5,1.45,0.57,36.2,25.3
20.4,1.35,0.46,29,39.4
20.8,1.15,0.32,19.5,50.5
19.4,0.66,0.14,8.5,59.2
18.5,0.01,0.01,0,0
18.4,0,0,0,0
18.4,0,0,0,0
18.3,0,0,0,0
18.3,0,0,0,0
18.9,0,0,0,0
18.3,0,0,0,0
18.4,0,0,0,0
17,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.8,0,0,0,0
16.8,0,0,0,0
16.6,0.05,0.07,7.7,-59.9
17.7,0.04,0.17,18.8,-51.3
18.5,0.02,0.25,28.4,-40.4
19,0.03,0.31,35.8,-26.6
19.8,0.03,0.34,40,-9.8
19.4,0.02,0.34,40.2,8.3
19.2,0.02,0.32,36.3,25.3
19.5,0.02,0.26,29.1,39.4
18.8,0.04,0.18,19.7,50.5
18.3,0.05,0.08,8.7,59.2
18.1,0,0,0,0
17.5,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
18.1,0,0,0,0
18.4,0,0,0,0
18.6,0,0,0,0
18.5,0,0,0,0
18.8,0,0,0,0
18.8,0,0,0,0
18.8,0,0,0,0
19.2,0,0,0,0
19.5,0,0,0,0
19.2,0.08,0.08,7.7,-60.1
19.5,0.08,0.22,18.8,-51.5
20.8,0.1,0.37,28.4,-40.6
20.3,0.13,0.53,35.9,-26.8
20.7,0.13,0.58,40.1,-10
20.6,0.24,0.7,40.3,8.2
20.5,0.04,0.36,36.5,25.2
20.4,0.1,0.38,29.3,39.4
20.3,0.12,0.26,19.8,50.5
20,0.14,0.11,8.8,59.3
19,0.01,0.01,0,0
18.2,0,0,0,0
18.1,0,0,0,0
18.3,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17,0,0,0,0
16.3,0,0,0,0
16.3,0,0,0,0
16.7,0,0,0,0
16.3,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.6,0,0,0,0
16.2,0.01,0.04,7.7,-60.2
15.3,0.01,0.11,18.8,-51.7
14.9,0,0.17,28.5,-40.8
14.2,0.01,0.2,35.9,-27
14.5,0.03,0.21,40.2,-10.2
14.6,0.02,0.22,40.5,8.1
14.7,0,0.21,36.6,25.2
14.2,0.02,0.16,29.4,39.4
14.2,0.01,0.11,20,50.5
13.8,0.02,0.05,9,59.3
13.3,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.6,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.3,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13,0,0,0,0
12.9,0,0,0,0
13.1,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.5,0.06,0.07,7.7,-60.4
13.1,0.04,0.17,18.8,-51.8
13.2,0.01,0.22,28.5,-41
13,0.03,0.26,36,-27.1
13.3,0.02,0.29,40.4,-10.3
13,0.01,0.29,40.6,8
13,0.04,0.31,36.8,25.1
13.3,0.02,0.26,29.6,39.4
12.8,0.02,0.15,20.1,50.6
12.6,0.02,0.06,9.2,59.4
12.4,0.01,0.01,0,0
12.2,0,0,0,0
12.4,0,0,0,0
12.3,0,0,0,0
12.4,0,0,0,0
12.9,0,0,0,0
12.7,0,0,0,0
12.3,0,0,0,0
12.3,0,0,0,0
12.1,0,0,0,0
12,0,0,0,0
11.7,0,0,0,0
11.9,0,0,0,0
11.7,0,0,0,0
12,0.06,0.07,7.7,-60.6
11.9,0.04,0.17,18.8,-52
12.1,0.02,0.2,28.5,-41.2
11.9,0.01,0.21,36.1,-27.3
11.6,0.01,0.29,40.5,-10.5
11.4,0.01,0.35,40.8,7.9
11.3,0,0.27,37,25.1
11.6,0.01,0.22,29.8,39.4
12.2,0.03,0.18,20.3,50.6
11.9,0.05,0.09,9.3,59.5
12.3,0.01,0.01,0,0
12.4,0,0,0,0
12.2,0,0,0,0
12.2,0,0,0,0
12,0,0,0,0
12.3,0,0,0,0
11.9,0,0,0,0
11.9,0,0,0,0
11.7,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.5,0,0,0,0
11.8,0,0,0,0
11.9,0.13,0.1,7.7,-60.7
13.2,0.4,0.33,18.8,-52.2
13.8,0.57,0.54,28.6,-41.4
13.2,0.72,0.7,36.2,-27.5
13.7,0.22,0.69,40.6,-10.6
14,0.71,0.79,40.9,7.8
15.1,1.37,0.61,37.1,25.1
14.4,1.07,0.53,30,39.4
14.6,1.14,0.34,20.5,50.7
14.1,0.21,0.14,9.5,59.5
13.6,0.01,0.01,0,0
13.9,0,0,0,0
13.8,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
