áYâú (826)-A2,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
17.8,0,0,0,0
18,0,0,0,0
18.7,0,0,0,0
18.4,0,0,0,0
17.7,0,0,0,0
18.5,0,0,0,0
18.4,0,0,0,0
18.3,0.01,0.05,7.9,-59.2
18.3,0.02,0.12,18.8,-50.6
17.8,0.01,0.18,28.3,-39.6
18,0.03,0.22,35.6,-25.8
18.1,0.05,0.42,39.6,-9.1
17.7,0.05,0.31,39.6,8.9
17.3,0.05,0.34,35.6,25.6
17.4,0.03,0.3,28.4,39.5
17.3,0.05,0.19,18.9,50.5
17.1,0.05,0.08,8,59.1
17.1,0,0,0,0
16.8,0,0,0,0
16.7,0,0,0,0
16.8,0,0,0,0
16.6,0,0,0,0
16.3,0,0,0,0
16.1,0,0,0,0
16,0,0,0,0
15.6,0,0,0,0
15.5,0,0,0,0
15.5,0,0,0,0
15.3,0,0,0,0
15.2,0,0,0,0
15,0,0,0,0
14.9,0.12,0.1,7.8,-59.3
16.1,0.55,0.38,18.8,-50.7
16.3,0.62,0.59,28.3,-39.8
17,1.16,0.73,35.6,-25.9
17.3,0.61,0.86,39.7,-9.2
16.7,0.07,0.58,39.7,8.8
15.7,0.09,0.51,35.8,25.5
16.2,0.16,0.47,28.5,39.4
15.6,0.28,0.34,19.1,50.4
15.3,0.11,0.1,8.1,59.1
15,0,0,0,0
14.6,0,0,0,0
15.1,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.4,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13.8,0,0,0,0
13.8,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.5,0,0,0,0
13.2,0,0,0,0
13.4,0.2,0.12,7.8,-59.5
14,0.18,0.3,18.8,-50.8
14,0.23,0.51,28.3,-39.9
14.8,0.21,0.64,35.6,-26.1
14.3,0.27,0.77,39.8,-9.4
14.6,0.63,0.86,39.8,8.6
15.2,1.18,0.73,35.9,25.4
14.9,0.54,0.59,28.7,39.4
14.1,0.07,0.24,19.2,50.4
13.8,0.11,0.1,8.3,59.1
13.5,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.5,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.8,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
13.6,0,0,0,0
13.3,0,0,0,0
14,0,0,0,0
14.2,0,0,0,0
14.6,0.14,0.11,7.7,-59.6
15.3,0.11,0.26,18.8,-51
15.3,0.07,0.35,28.3,-40.1
15.8,0.07,0.44,35.7,-26.3
16.4,0.08,0.58,39.8,-9.5
17,0.19,0.71,40,8.5
17.5,0.95,0.77,36,25.4
18.1,1.11,0.59,28.8,39.4
17,0.65,0.39,19.4,50.4
16.5,0.29,0.14,8.4,59.2
15.6,0,0,0,0
15.5,0,0,0,0
15.8,0,0,0,0
15.9,0,0,0,0
16.7,0,0,0,0
16.8,0,0,0,0
17.2,0,0,0,0
16.4,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17.4,0,0,0,0
17.3,0,0,0,0
16.9,0,0,0,0
16.4,0,0,0,0
17.6,0.17,0.11,7.7,-59.7
18.6,0.2,0.32,18.8,-51.2
18.6,0.52,0.59,28.4,-40.3
19.1,0.41,0.74,35.7,-26.4
19.6,1.08,0.84,39.9,-9.7
20.9,1.63,0.71,40.1,8.4
20.5,1.63,0.64,36.2,25.3
20.4,1.52,0.52,29,39.4
20.8,1.3,0.36,19.5,50.5
19.4,0.75,0.16,8.5,59.2
18.5,0.01,0.01,0,0
18.4,0,0,0,0
18.4,0,0,0,0
18.3,0,0,0,0
18.3,0,0,0,0
18.9,0,0,0,0
18.3,0,0,0,0
18.4,0,0,0,0
17,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.8,0,0,0,0
16.8,0,0,0,0
16.6,0.05,0.08,7.7,-59.9
17.7,0.05,0.19,18.8,-51.3
18.5,0.03,0.28,28.4,-40.4
19,0.04,0.35,35.8,-26.6
19.8,0.04,0.38,40,-9.8
19.4,0.03,0.39,40.2,8.3
19.2,0.02,0.36,36.3,25.3
19.5,0.03,0.29,29.1,39.4
18.8,0.05,0.2,19.7,50.5
18.3,0.05,0.09,8.7,59.2
18.1,0,0,0,0
17.5,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
18.1,0,0,0,0
18.4,0,0,0,0
18.6,0,0,0,0
18.5,0,0,0,0
18.8,0,0,0,0
18.8,0,0,0,0
18.8,0,0,0,0
19.2,0,0,0,0
19.5,0,0,0,0
19.2,0.09,0.09,7.7,-60.1
19.5,0.09,0.25,18.8,-51.5
20.8,0.11,0.41,28.4,-40.6
20.3,0.14,0.59,35.9,-26.8
20.7,0.14,0.66,40.1,-10
20.6,0.27,0.78,40.3,8.2
20.5,0.05,0.41,36.5,25.2
20.4,0.11,0.43,29.3,39.4
20.3,0.14,0.3,19.8,50.5
20,0.16,0.13,8.8,59.3
19,0.01,0.01,0,0
18.2,0,0,0,0
18.1,0,0,0,0
18.3,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17,0,0,0,0
16.3,0,0,0,0
16.3,0,0,0,0
16.7,0,0,0,0
16.3,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.6,0,0,0,0
16.2,0.01,0.05,7.7,-60.2
15.3,0.01,0.13,18.8,-51.7
14.9,0,0.19,28.5,-40.8
14.2,0.01,0.23,35.9,-27
14.5,0.04,0.23,40.2,-10.2
14.6,0.03,0.24,40.5,8.1
14.7,0,0.23,36.6,25.2
14.2,0.02,0.18,29.4,39.4
14.2,0.01,0.13,20,50.5
13.8,0.02,0.05,9,59.3
13.3,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.6,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.3,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13,0,0,0,0
12.9,0,0,0,0
13.1,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.5,0.06,0.08,7.7,-60.4
13.1,0.05,0.19,18.8,-51.8
13.2,0.01,0.24,28.5,-41
13,0.04,0.29,36,-27.1
13.3,0.02,0.32,40.4,-10.3
13,0.01,0.32,40.6,8
13,0.05,0.35,36.8,25.1
13.3,0.03,0.3,29.6,39.4
12.8,0.03,0.17,20.1,50.6
12.6,0.02,0.07,9.2,59.4
12.4,0.01,0.01,0,0
12.2,0,0,0,0
12.4,0,0,0,0
12.3,0,0,0,0
12.4,0,0,0,0
12.9,0,0,0,0
12.7,0,0,0,0
12.3,0,0,0,0
12.3,0,0,0,0
12.1,0,0,0,0
12,0,0,0,0
11.7,0,0,0,0
11.9,0,0,0,0
11.7,0,0,0,0
12,0.06,0.08,7.7,-60.6
11.9,0.05,0.19,18.8,-52
12.1,0.03,0.23,28.5,-41.2
11.9,0.01,0.23,36.1,-27.3
11.6,0.01,0.32,40.5,-10.5
11.4,0.01,0.4,40.8,7.9
11.3,0,0.31,37,25.1
11.6,0.01,0.24,29.8,39.4
12.2,0.04,0.21,20.3,50.6
11.9,0.05,0.1,9.3,59.5
12.3,0.01,0.01,0,0
12.4,0,0,0,0
12.2,0,0,0,0
12.2,0,0,0,0
12,0,0,0,0
12.3,0,0,0,0
11.9,0,0,0,0
11.9,0,0,0,0
11.7,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.5,0,0,0,0
11.8,0,0,0,0
11.9,0.14,0.11,7.7,-60.7
13.2,0.45,0.37,18.8,-52.2
13.8,0.64,0.6,28.6,-41.4
13.2,0.81,0.78,36.2,-27.5
13.7,0.25,0.77,40.6,-10.6
14,0.8,0.89,40.9,7.8
15.1,1.54,0.68,37.1,25.1
14.4,1.21,0.59,30,39.4
14.6,1.28,0.38,20.5,50.7
14.1,0.23,0.15,9.5,59.5
13.6,0.01,0.01,0,0
13.9,0,0,0,0
13.8,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
